"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "day" "expe" "plong"
"8407" 3 76 760 245.900757520914 348.383062022175 -4.47470801628268 38.8016601293075 -5.55717149434113 27.3974625360773 205.954545454545 1 "Sti" "VC" 6 11 36 47
"8408" 3 77 770 273.515760048546 348.592221521344 -2.77711922710548 24.0813112266999 -0.418665673204885 12.8471130806121 357 1 "Sti" "VC" 6 11 36 47
"8409" 3 78 780 306.184285434389 338.722657164262 -4.86421527216949 42.1792052352281 1.07619589694298 18.1226000586533 406.636363636364 1 "Sti" "VC" 6 11 36 47
"8410" 3 79 790 337.924370459479 332.868358591476 -3.25828250947435 28.2536357853621 0.1235474979282 20.3911479157013 391.833333333333 1 "Sti" "VC" 6 11 36 47
"8706" 3 378 3780 36.4363638117498 327.588132203231 -1.21228045640083 10.5120812530118 1.37075703322689 10.1234852874002 500.5 2 "Sti" "VC" 6 11 36 47
"8707" 3 379 3790 58.5339893904414 338.98020655615 -6.00747198715597 52.092758998744 7.28677347874282 16.3743774559947 363.277777777778 2 "Sti" "VC" 6 11 36 47
"8708" 3 380 3800 138.081376978917 320.067290216548 -8.84435434888166 76.6922959575715 -2.26978726864061 11.1451846341463 432.909090909091 2 "Sti" "VC" 6 11 36 47
"8709" 3 381 3810 200.501383408089 320.001168222593 -7.00851208580429 60.7731058598624 0.79400981874457 47.6076506335969 459.833333333333 2 "Sti" "VC" 6 11 36 47
"8710" 3 382 3820 261.30046494448 326.542260756115 -5.2158450696929 45.2283024825106 -5.33735499610475 34.1898613049258 475.818181818182 2 "Sti" "VC" 6 11 36 47
"8711" 3 383 3830 277.768459465752 331.84777511964 0.577763287221537 10.905908778709 -2.98365074401391 11.1520894466739 473.277777777778 2 "Sti" "VC" 6 11 36 47
"8712" 3 384 3839.5 266.9354850593 327.518606730648 -0.903427834224728 18.0985664111853 4.50703457357741 15.39518478964 471.65 2 "Sti" "VC" 6 11 36 47
"9006" 3 678 6780 26.8335231226684 333.692835767439 -1.89385877667702 16.4222703063818 1.83183798769705 6.10842933791474 320.681818181818 3 "Sti" "VC" 6 11 36 47
