"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "expe" "plong" "day"
"1873" 1 1873 18730 384.240788383494 38.1144959023341 383.622429943065 37.6196425464454 -2.22178397422494 19.436144822197 -3.18765867970171 19.4135425612043 255.5 7 "Sti" "CT" 1 4 39 NA
"1874" 1 1874 18740 384.039604917632 53.6029268923745 383.222479867913 54.9354485591754 1.38762347465967 12.1322746979408 -0.995473407999555 8.11325306176394 373.863636363636 7 "Sti" "CT" 1 4 39 NA
"2167" 1 2167 21669.5 25.4037421762635 68.1270362099724 23.4795236267451 69.08031925981 1.89352189894078 16.5554476729722 -1.41378330129973 15.7553762860481 372.75 8 "Sti" "CT" 1 4 39 NA
"2168" 1 2168 21680 8.54832036610176 81.5546329475172 10.2488792634371 80.727725754247 0.600918847833681 8.21838968091168 2.81595478326763 6.95368856429062 371.125 8 "Sti" "CT" 1 4 39 NA
"2169" 1 2169 21689.875 23.0489335415559 59.4038065901758 30.5031643025217 57.4904449477487 -5.12234016966864 44.7856635244359 8.32962872981091 21.16640667329 365.5 8 "Sti" "CT" 1 4 39 NA
"2170" 1 2170 21700 110.814774230799 38.5649877643613 114.732265584695 38.487672776757 -12.1609990680241 106.326092048029 -1.50661452640627 96.6310062002815 419.636363636364 8 "Sti" "CT" 1 4 39 NA
"2171" 1 2171 21710 188.996491057336 41.5821794516235 189.08177646917 42.0741540152808 -5.042524424405 44.0878182051234 -4.39885601171471 43.6418322216943 431.277777777778 8 "Sti" "CT" 1 4 39 NA
"2172" 1 2172 21718.5 221.062958475058 39.8892410700163 228.665973677925 40.1713380868931 -5.25195217293064 45.918887670929 3.80381892363249 44.6084572932305 312.3125 8 "Sti" "CT" 1 4 39 NA
"2173" 1 2173 21731.25 271.76355698126 41.9907421435084 270.607891918766 40.4572896214611 -3.48015405991576 30.42769585345 -0.367214929250167 30.2211807455597 391.625 8 "Sti" "CT" 1 4 39 NA
"2174" 1 2174 21739.1428571429 298.847973585969 39.5788052871501 300.768858355483 41.1357755056987 -3.67277988485704 32.1118626788046 -3.26280476193506 31.9556241163874 416 8 "Sti" "CT" 1 4 39 NA
"2467" 1 2467 24670.5 36.9734624461729 81.7283615790408 36.9260413433499 81.7166073686951 0.0164592794106203 0.18724062046531 -0.0165494614381174 0.172439981801489 458.125 9 "Sti" "CT" 1 4 39 NA
"2468" 1 2468 24679.125 36.5231830721827 81.5505512335555 37.9698312237249 81.9074405335544 -0.696304639161879 7.14366189934777 3.30965461808652 3.54060228157921 458 9 "Sti" "CT" 1 4 39 NA
"2469" 1 2469 24690 67.6040941766112 80.4601660588306 75.7625665894833 79.5888943219308 -8.02639169987614 70.1763776085241 7.40529793528967 45.057127552959 381.111111111111 9 "Sti" "CT" 1 4 39 NA
"2470" 1 2470 24700 171.013316602459 71.1747806964144 174.822126765733 70.6943614286729 -12.1017126980688 105.807739238873 -4.20162419992441 92.7356766957409 399.772727272727 9 "Sti" "CT" 1 4 39 NA
"2471" 1 2471 24709.4285714286 249.45936102664 66.8894224632876 256.188396047517 61.5825831569179 -7.54399876654882 65.9587179289717 3.29546789494765 59.8492188800717 453.071428571429 9 "Sti" "CT" 1 4 39 NA
"2472" 1 2472 24720 324.543256144911 39.8514557813431 320.632493495408 43.446530393015 -4.84999896715781 48.4457162365816 -11.4711268571004 46.4392649815761 392.090909090909 9 "Sti" "CT" 1 4 39 NA
"2473" 1 2473 24730 318.943129703191 54.4459931341282 321.895304070828 53.7142834911301 0.396634445143472 11.5476717005128 3.24155001038571 10.5523111382786 286.722222222222 9 "Sti" "CT" 1 4 39 NA
"2474" 1 2474 24740 328.838376476722 46.7324850445038 328.167332727087 46.2310204329931 -0.741527636193502 6.67575890858126 -0.461228116581367 5.27862730998356 380.272727272727 9 "Sti" "CT" 1 4 39 NA
"2766" 1 2767 27670 36.4130615456801 37.7264095237022 35.0109235394577 39.2231349969346 0.267586349725696 5.99055866948449 -1.82921225242954 1.63809741309925 493.388888888889 10 "Sti" "CT" 1 4 39 NA
"2767" 1 2768 27680 26.925763351206 50.2403467220402 28.1483024622744 48.8595740218846 0.397665475190871 8.00754415111206 1.78036456197288 6.18389229150188 452.772727272727 10 "Sti" "CT" 1 4 39 NA
"2768" 1 2769 27690 34.0501547515542 42.1158822322574 34.9405332754627 42.4970180513433 -1.47615319940485 12.9063081148985 1.52926300646555 8.14017677142871 481.444444444444 10 "Sti" "CT" 1 4 39 NA
"2769" 1 2770 27699.7 72.959614374333 44.5006205202451 82.6174609627751 44.3606519956948 -10.3324365838192 90.3385977703302 9.81047488353421 79.639203959554 418.3 10 "Sti" "CT" 1 4 39 NA
"2770" 1 2771 27710.375 172.202091304614 42.4630588897526 169.706525138819 42.5858922469283 -6.39080625616829 55.876120905326 -8.46427674026064 53.5563105441504 415.25 10 "Sti" "CT" 1 4 39 NA
"2771" 1 2772 27719.5 204.811636087114 44.2548020373644 207.709884777658 45.4114072441299 -4.30249921036507 37.6176270155885 0.0695815193102192 38.8517121471965 364.4 10 "Sti" "CT" 1 4 39 NA
"2772" 1 2773 27730.5 239.772442555739 58.7555048995098 244.095858415514 58.5257617545592 -4.17801125849944 36.5292034942235 2.23726339823381 37.6135717530931 417.375 10 "Sti" "CT" 1 4 39 NA
"2773" 1 2774 27740.375 293.710768433727 54.4045311929548 295.626617355157 51.7471492899861 -6.78254381875848 59.3011622120188 -0.0804093044398542 55.2050025044465 470.75 10 "Sti" "CT" 1 4 39 NA
"3128" 2 67 670 37.3928675185593 157.685735516064 37.6000767681563 160.9530753363 0.0570547308244248 1.37383304732304 0.43938361065522 11.7248054000299 380.722222222222 1 "Sti" "CT" 1 4 33 NA
"3129" 2 68 680 38.3180013982845 177.429334285791 40.5164797843896 177.880725941529 -1.42284792937222 13.5985335544214 3.9379770852391 18.2183274425824 359.545454545455 1 "Sti" "CT" 1 4 33 NA
"3130" 2 69 690 64.5469877287658 195.757011316531 65.69054968526 193.223808741948 -3.49186626162919 30.5300980188067 1.6235825701302 18.8688695335687 394.833333333333 1 "Sti" "CT" 1 4 33 NA
"3131" 2 70 700.2 109.14527102399 177.366604613337 113.837140095349 175.946064828692 -7.21412201331587 63.0745382795401 0.0273254755081638 12.8146760609718 440.25 1 "Sti" "CT" 1 4 33 NA
"3132" 2 71 710 167.336627435992 159.272515983385 168.174118521529 162.444714568031 -4.57488266341024 39.9991310300894 -2.2827832415787 32.1036757569036 400.722222222222 1 "Sti" "CT" 1 4 33 NA
"3133" 2 72 719.6 194.134096222794 187.161502057943 194.100376086511 189.70061615257 -1.94136747111935 16.9737712566756 -1.92950614263472 39.1279919802726 445.65 1 "Sti" "CT" 1 4 33 NA
"3134" 2 73 730 207.112659021914 219.314042583039 212.501161277793 217.965847616516 -3.30604591576244 28.9054328832773 4.27292127252525 29.9831763872764 340.277777777778 1 "Sti" "CT" 1 4 33 NA
"3135" 2 74 740 271.921397865909 215.31583640426 275.632359304793 214.212137293084 -9.9960773643583 87.3977405981885 2.89965919497749 60.2342763563837 334.045454545455 1 "Sti" "CT" 1 4 33 NA
"3428" 2 367 3670 36.2467070126011 218.315442238524 36.3660496835817 218.306010479282 -0.0269230800843648 0.721922639024328 0.150054486025041 0.344570250723422 458.444444444444 2 "Sti" "CT" 1 4 33 NA
"3429" 2 368 3680 45.3792459803349 209.248673190875 51.8764269247467 207.55731930154 -5.39641853579166 47.1819865092303 10.4330871340749 13.6094669966051 399.409090909091 2 "Sti" "CT" 1 4 33 NA
"3430" 2 369 3690 137.434162592749 195.02363426124 141.522119416797 198.592623558687 -11.441354397167 100.03409209906 -1.72249965487177 68.2847356086497 327.666666666667 2 "Sti" "CT" 1 4 33 NA
"3431" 2 370 3700 215.519726095251 222.743912283721 216.099042487153 221.927886157112 -6.04215939716314 52.8278303976563 -4.19323134006027 47.2693084888643 319.636363636364 2 "Sti" "CT" 1 4 33 NA
"3432" 2 371 3710 264.119289282539 226.586105458687 269.564344166495 226.561543525227 -7.205061660608 62.9953217702208 2.71926386354124 49.2082639706374 243.722222222222 2 "Sti" "CT" 1 4 33 NA
"3433" 2 372 3720 334.23831553659 227.73149587648 336.881900160045 227.817798686952 -7.54614280118372 65.9774636605246 -2.26598220488529 54.9674272451699 244.454545454545 2 "Sti" "CT" 1 4 33 NA
"3434" 2 373 3730 385.402634320985 227.576676922788 383.070014106575 227.661178005977 -2.68441655008019 23.4704007131755 -4.721924603557 19.7825445100758 225 2 "Sti" "CT" 1 4 33 NA
"3435" 2 374 3740 388.408922901322 227.942567224752 388.365469983975 227.932807830977 0.194833952779977 1.90455781535576 -0.544748818342953 1.52394883572111 228.181818181818 2 "Sti" "CT" 1 4 33 NA
"3728" 2 667 6670 23.4162223464583 214.20792473576 23.5291049847205 214.368628004564 0.150266228246791 1.3761665406855 0.269332984347088 0.65871870768089 364.611111111111 3 "Sti" "CT" 1 4 33 NA
"3729" 2 668 6680 24.444631764968 214.842238235986 28.2230913857099 213.200285798941 -2.35848563827332 20.6207203591003 6.25185533420153 5.18611335666981 345.090909090909 3 "Sti" "CT" 1 4 33 NA
"3730" 2 669 6690 91.0181168991665 191.161773292954 100.327521651293 190.757234099528 -12.6767641458162 110.835531184545 8.08670505446285 28.6876268273234 287.333333333333 3 "Sti" "CT" 1 4 33 NA
