"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "ret" "pck" "expe" "cond" "plong"
"1013" "1" 1016 10160 81.1403773481976 46.1522573852835 93.2535168135251 46.3038378286408 -13.7757578406332 123.79503382981 11.7922341656138 107.743718381816 360.181818181818 "4" "Sti" "4" "2" "9" "CT" 65
"1014" "1" 1017 10170.1428571429 219.000541897256 48.631791893173 222.116779237186 47.6751718634379 -11.690423419031 105.055299271813 -2.13505504148793 103.193775928295 370.714285714286 "4" "Sti" "4" "2" "9" "CT" 65
"1015" "1" 1018 10180.3 323.997962928755 53.7363921369948 324.998402193173 54.5821334287411 -10.5545607561414 94.8479365695102 -6.62047244422544 95.4300764320364 378.65 "4" "Sti" "4" "2" "9" "CT" 65
"1016" "1" 1019 10190 381.186875129289 50.5682449043399 380.645682805931 49.3131068826189 -3.19909181763756 28.7484495859073 -5.76244841946772 25.6650114100819 341.888888888889 "4" "Sti" "4" "2" "9" "CT" 65
"1017" "1" 1020 10200 386.086232557783 36.6892661887012 386.453858470393 36.6801521632088 0.295171755469082 6.14663171500672 0.020453124438859 6.45059533441531 298.045454545455 "4" "Sti" "4" "2" "9" "CT" 65
"1018" "1" 1021 10210 391.628377807911 43.2978180550717 392.061424423062 45.1441836390982 -1.01315691955669 9.10467479048407 -0.533211516891754 10.8871429232943 320.277777777778 "4" "Sti" "4" "2" "9" "CT" 65
"1019" "1" 1022 10220 392.776095017239 52.2410761549633 392.813357244244 50.6966306619802 0.74616563215078 6.79118122753169 -0.772199984359304 8.05420618721547 317.454545454545 "4" "Sti" "4" "2" "9" "CT" 65
"1313" "1" 1316 13160 89.0528626481819 68.3358726268144 98.7998077658889 68.4516806933892 -13.335691767834 119.840406069961 9.90929697416094 119.886842613845 370.727272727273 "5" "Sti" "4" "2" "9" "CT" 65
"1314" "1" 1317 13170.5714285714 212.513974786402 77.014221652913 215.138958267649 80.3527307580003 -10.1213271442851 90.9547083161967 -1.2871493660368 83.3646505359879 369.5 "5" "Sti" "4" "2" "9" "CT" 65
"1315" "1" 1318 13180.2222222222 302.27411747156 84.3034591934421 306.115786456193 84.4525875050142 -9.88780867136338 88.8562083578159 -6.62947085030228 87.4036868456666 380.611111111111 "5" "Sti" "4" "2" "9" "CT" 65
"1316" "1" 1319 13190 359.264648779295 85.8121071553566 361.104140371933 82.4949016020555 -3.63659121876192 32.6800121024144 -2.76504028546674 29.4531174384899 377.611111111111 "5" "Sti" "4" "2" "9" "CT" 65
"1317" "1" 1320 13200 389.492363374774 63.5746474711338 386.890392335933 64.1495573382297 -1.07250990659753 20.4710227603704 -5.03779008447054 18.5077091729615 323.318181818182 "5" "Sti" "4" "2" "9" "CT" 65
"1318" "1" 1321 13209.625 384.864197069112 65.4405108567569 385.636099654408 68.2059617861248 -0.276490986100438 4.70180563671238 1.72247990646804 7.19226013908246 347.375 "5" "Sti" "4" "2" "9" "CT" 65
"1319" "1" 1322 13220 382.587880119011 89.7275347960927 382.879064211238 89.9754077915094 0.716417006055913 9.65645886521014 0.348177663999536 8.26026181732101 368.045454545455 "5" "Sti" "4" "2" "9" "CT" 65
"1613" "1" 1616 16160 36.788150208055 68.3401221047135 45.0858484719689 66.4642968165627 -8.55863964142301 76.9117094104215 9.62395429165612 38.8773590690454 281 "6" "Sti" "4" "2" "9" "CT" 65
"1614" "1" 1617 16169.75 132.298021547993 44.0811728580252 133.607183467501 45.5363299408826 -8.11754294155129 72.9478199812845 -3.97528038585898 66.8272139272467 337.625 "6" "Sti" "4" "2" "9" "CT" 65
"1615" "1" 1618 16180 200.952327762353 57.2118183265258 202.469940213365 57.6866885785015 -7.54260184752461 67.7811458128955 -1.35497682255573 70.7219675317261 355.5 "6" "Sti" "4" "2" "9" "CT" 65
"1616" "1" 1619 16190 247.329289979159 63.5116849940628 253.509137313622 59.002556258865 -4.56778756805103 41.0481530712122 0.793018330633117 36.191284714198 391.642857142857 "6" "Sti" "4" "2" "9" "CT" 65
"1617" "1" 1620 16200 293.901650811037 40.1677086362606 293.200492990507 42.2003401381367 -3.46445907110446 31.1331567287231 -3.76203275960034 30.0382212234033 344.727272727273 "6" "Sti" "4" "2" "9" "CT" 65
"1618" "1" 1621 16210 321.850864562762 44.1825054322454 323.66807531833 44.2730300265136 -4.05899804607851 36.4759460962132 0.331459407426053 35.9917175138293 353.888888888889 "6" "Sti" "4" "2" "9" "CT" 65
"1619" "1" 1622 16219.1111111111 347.392619373396 49.309559457301 354.16511222931 49.5631592313254 -3.64292382421736 32.7369196871481 1.58362522037203 33.8489421715127 303.944444444444 "6" "Sti" "4" "2" "9" "CT" 65
"1913" "1" 1916 19160 392.967207399756 65.8184596597078 392.895840520881 66.6578458827765 -0.0759264048626716 2.81967187761654 0.802206949166248 3.4989785719722 344.818181818182 "7" "Sti" "4" "2" "9" "CT" 65
"1914" "1" 1917 19170 394.648935269908 70.1233966676718 395.276091532766 69.0436333466716 -0.25077009262265 3.34706302429549 -0.79541574276783 2.92265581085434 315.611111111111 "7" "Sti" "4" "2" "9" "CT" 65
"1915" "1" 1918 19180 398.758668479652 57.959088937756 398.886077442527 56.7367809446037 -0.626506629956002 5.63006481002708 0.383961700087355 3.4260487198037 254.272727272727 "7" "Sti" "4" "2" "9" "CT" 65
"1916" "1" 1919 19190 401.476585219218 45.1914548301882 401.018635049047 44.9771639947798 0.254479872908284 3.02694409632136 -0.566184142105499 3.202288514168 192.222222222222 "7" "Sti" "4" "2" "9" "CT" 65
"1917" "1" 1920 19200 397.658631686476 41.7125079549015 397.43425992875 42.3927293952725 0.456953972869834 4.10638987593347 -0.222576059276776 3.88346512905611 215.409090909091 "7" "Sti" "4" "2" "9" "CT" 65
"1918" "1" 1921 19210 391.876615780164 45.9765797602374 391.517272375097 45.5677095437316 0.746983637795543 6.71272432203 0.0945082957682644 6.488477115134 279.444444444444 "7" "Sti" "4" "2" "9" "CT" 65
"1919" "1" 1922 19220 386.716332881793 44.7102846368295 386.582856338389 44.6855847931625 0.377204072938906 3.38972211259977 0.290528875440998 3.58063116456321 310.545454545455 "7" "Sti" "4" "2" "9" "CT" 65
"2211...50" "1" 2216 22160 43.6697504958863 56.9763998163224 42.8201229061175 58.3108843338578 0.88939912907591 7.99475885260804 -0.535403834650658 12.8602152677588 341.227272727273 "8" "Sti" "4" "2" "9" "CT" 65
"2212...51" "1" 2217 22170 35.6930911919812 70.3331876424066 37.9255813139838 70.1807554506712 -0.50990729238877 10.5307314623043 2.88475065745256 5.99582882092582 383.333333333333 "8" "Sti" "4" "2" "9" "CT" 65
"2213" "1" 2218 22180 49.3223344488425 76.0668089022643 48.4023251855293 75.5954804362974 -0.677510166823636 7.6580688953343 -1.81887607027416 10.9705736426259 379.636363636364 "8" "Sti" "4" "2" "9" "CT" 65
"2214" "1" 2219 22190 54.5549491012999 71.9435716575342 58.1744445209693 72.5178957975463 -2.70876609750481 24.7205954804741 5.46400621271933 14.7669011686114 352.888888888889 "8" "Sti" "4" "2" "9" "CT" 65
"2215" "1" 2220 22200 112.758638929197 81.2147114696355 117.228573280723 81.9539477935303 -9.24250172614559 83.0571956255933 2.55645666100938 77.7302755546425 332.954545454545 "8" "Sti" "4" "2" "9" "CT" 65
"2216" "1" 2221 22210 184.644418961488 97.0648791772385 188.963542053302 95.508037690866 -6.69515831958571 60.1656446242344 -1.44241088779407 54.9674972281623 274.277777777778 "8" "Sti" "4" "2" "9" "CT" 65
"2217" "1" 2222 22220 248.180849711046 83.716939747684 250.16022811864 85.0964501920096 -6.76810989762802 60.8212196696267 -0.312712895057842 53.5278764250823 336.272727272727 "8" "Sti" "4" "2" "9" "CT" 65
"2511...57" "1" 2516 25160 119.09430143925 96.5151055400593 121.321202781771 97.0856804036015 -9.73178871769499 87.4541442633432 -2.80658001548507 73.2686537297161 218.590909090909 "9" "Sti" "4" "2" "9" "CT" 65
"2512" "1" 2517 25170 178.853784232905 98.3489193696706 184.136740079651 96.9520199251589 -5.85542408930966 52.6194225834806 2.86572805514103 40.7743460464348 241.611111111111 "9" "Sti" "4" "2" "9" "CT" 65
