"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond"
"1816" 1 1816 18160 62.5105351992236 77.6026596026623 -66.0983401593233 66.0983401593233 7.93822870476239 36.2290412905604 460.090909090909 7 "Sti" "P2"
"1817" 1 1817 18170 127.751505132211 73.7305529277242 -21.7793910200904 24.5516578458282 -9.83200149635779 24.7108808951047 419.5 7 "Sti" "P2"
"1818" 1 1818 18180 119.872449420401 76.8964496084882 15.5589937109137 15.5589937109137 0.283889275571042 15.6621876870705 405.863636363636 7 "Sti" "P2"
"1819" 1 1819 18190 112.345033035975 63.6616511884577 -16.2508987332208 19.634687848098 5.3453280687643 11.6729373683615 400.666666666667 7 "Sti" "P2"
"1820" 1 1820 18200 153.855452013973 33.6939733614639 -43.4021248668093 43.4021248668093 -1.70435361799137 39.8622704499824 374.227272727273 7 "Sti" "P2"
"1821" 1 1821 18210 183.513304179375 33.8468994716282 -27.0809581411575 27.0809581411575 0.853022307863625 26.0309606683061 263.555555555556 7 "Sti" "P2"
"1822" 1 1822 18220 227.366877829015 34.7335597173793 -56.8686245531022 56.8686245531022 1.77628581157933 57.6469253739964 372.545454545455 7 "Sti" "P2"
"4028" 2 1816 18160 54.5024950264202 185.365077541359 -67.7244706428975 67.7887474594471 11.8897106670951 15.3062693983346 453.954545454545 7 "Sti" "P2"
"4029" 2 1817 18170 146.471563077395 177.558791221111 -55.2160676110564 55.2160676110564 -10.5658317474502 37.336225478674 426.722222222222 7 "Sti" "P2"
"4030" 2 1818 18180 163.599179967025 178.218326510263 -14.2782155780812 14.2782155780812 1.21275749752442 4.45955709365305 395.045454545455 7 "Sti" "P2"
"4031" 2 1819 18190 189.636511679677 165.371028697261 -29.7903645575705 29.7903645575705 0.616063188288365 13.094796444521 266.722222222222 7 "Sti" "P2"
"4032" 2 1820 18200 215.829973196158 153.397675751114 -9.31619285418634 13.9589259975313 -3.64054189751326 11.3309028877268 387.5 7 "Sti" "P2"
"4033" 2 1821 18210 211.547611902771 175.111347687534 -2.10148894921804 6.9747851482025 1.58150644118018 10.1090291026616 338 7 "Sti" "P2"
"4034" 2 1822 18220 221.061529592159 172.834119382259 -14.1189209460104 14.1189209460104 1.1867776752199 4.52952242240207 354.909090909091 7 "Sti" "P2"
"2116" 1 2116 21160 379.187787307072 44.7089215168655 -1.90020074118695 2.46414803589755 -0.663501258735891 2.63421624324866 463.5 8 "Sti" "P2"
"2117" 1 2117 21170 376.484075279943 51.1160343890705 3.10580050273848 3.57621426700575 -0.291297764987291 3.36767133593844 489.277777777778 8 "Sti" "P2"
"2118" 1 2118 21180 372.21581059111 48.6329108165617 6.40763563731207 9.42513971700009 1.59292995003506 9.02372033431635 407.909090909091 8 "Sti" "P2"
"2119" 1 2119 21190 378.910816986938 46.2743662047463 -14.7376900285026 14.7376900285026 -0.484699748405944 14.2499192436306 398 8 "Sti" "P2"
"2120" 1 2120 21200 383.778505353319 57.1464512794403 1.07272126558138 1.8026947227541 -0.722703911830706 2.91744503660993 490.5 8 "Sti" "P2"
"2121" 1 2121 21210 381.847223699907 68.093615889811 2.29389437880246 2.29389437880246 0.109041771756154 2.67897991665183 360.555555555556 8 "Sti" "P2"
"2122" 1 2122 21220 380.825529492486 62.6106728562975 2.85653152044495 2.94370232221706 -0.57881605356431 3.21901853349789 313.636363636364 8 "Sti" "P2"
"4284" 2 2116 21160 59.0998190861716 166.291703643554 -67.2688603940751 67.2688603940751 10.3213295244863 30.4690934975591 415.772727272727 8 "Sti" "P2"
"4285" 2 2117 21170 149.002936976368 170.03269331358 -60.1507438853107 60.1507438853107 -7.10498557732978 37.4077218132859 411.166666666667 8 "Sti" "P2"
"4286" 2 2118 21180 178.710019588384 172.624650519122 -21.5851551935324 21.5851551935324 -1.27790484821625 16.3846288753756 415.045454545455 8 "Sti" "P2"
"4287" 2 2119 21190 209.413522502211 162.723903246162 -37.3826443921761 37.3826443921761 1.82061439801612 25.5794831090153 325.611111111111 8 "Sti" "P2"
"4288" 2 2120 21200 248.102426823351 172.394378247506 -41.973473908135 41.973473908135 0.106832652303154 39.752983616469 355.863636363636 8 "Sti" "P2"
"4289" 2 2121 21210 281.561465912272 167.83757088424 -21.280134465463 21.280134465463 -2.38093093321902 14.4336908313621 272.444444444444 8 "Sti" "P2"
"4290" 2 2122 21220 295.661119937776 168.797338146564 -4.10142916063876 6.01689140201199 -2.05965381657137 7.05049669034929 425.5 8 "Sti" "P2"
"2416" 1 2416 24160 50.4147340739013 63.5537481771156 -38.8836110162024 38.8836110162024 6.66552910847729 51.3950377486462 481.272727272727 9 "Sti" "P2"
"2417" 1 2417 24170 104.988111566837 87.7786929619923 -42.1862382484238 42.1862382484238 -2.61173279930837 31.5678495715194 458.833333333333 9 "Sti" "P2"
"2418" 1 2418 24180 140.226230509299 82.8350263590564 -27.8966249724751 27.8966249724751 -3.80454932003556 22.2225705316615 438.5 9 "Sti" "P2"
"2419" 1 2419 24190 150.439723859049 74.17267860425 -0.581912273458016 1.1062379314923 -0.402039361025061 2.89921882951347 510.055555555556 9 "Sti" "P2"
"2420" 1 2420 24200 151.03318534227 64.7282836056085 -17.2922224273195 18.7717736272012 4.09287400227487 12.4183570229503 506.090909090909 9 "Sti" "P2"
"2421" 1 2421 24210 189.549792232103 38.2246497971626 -31.6055445629238 31.6055445629238 -2.49189634346286 28.8482360262048 471.888888888889 9 "Sti" "P2"
"2422" 1 2422 24220 200.092483214802 50.248855968876 2.21613415963131 5.7982417792384 -2.11533622450767 5.05623414980357 514.454545454545 9 "Sti" "P2"
"4485" 2 2416 24160 40.8378331456503 173.717004735757 -16.9847464359129 16.9847464359129 4.37266947809678 4.38279124323651 431.545454545455 9 "Sti" "P2"
"4486" 2 2417 24170 88.1889732723525 163.562113786615 -67.0899102601959 67.0899102601959 5.61168760459685 41.7134881792401 333.388888888889 9 "Sti" "P2"
"4487" 2 2418 24176.5 131.681199255919 189.046174166065 -34.167606957909 34.167606957909 -2.5755713152076 24.5459710862787 288.125 9 "Sti" "P2"
"4488" 2 2419 24193.5 184.641160521527 185.654411521218 -15.3639029218885 15.3639029218885 0.400807416493564 9.11090255912782 322 9 "Sti" "P2"
"4489" 2 2420 24200 201.726402976069 166.035549052403 -39.2087873464069 39.2087873464069 -7.1972482662012 17.8395988700562 353.181818181818 9 "Sti" "P2"
"4490" 2 2421 24210 212.89978697282 169.89201792918 -0.00809625889269228 1.28272673864348 -0.913582229361282 6.22787460176352 402.333333333333 9 "Sti" "P2"
"4491" 2 2422 24220 217.659747516239 180.670345912558 -35.8273675820369 36.9163887128263 8.82384089095621 37.8336913120739 417.181818181818 9 "Sti" "P2"
"4492" 2 2423 24227 253.841934316482 191.846314768999 -22.7236907840604 22.7236907840604 -1.73748546011012 20.1539451870057 373.166666666667 9 "Sti" "P2"
"2716" 1 2716 27160 50.1762566868852 83.079012299979 10.6212273938672 10.6212273938672 0.826851266884574 7.39143342927558 552.409090909091 10 "Sti" "P2"
