"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "day" "expe" "plong" "y2" "x2"
"2830" 1 2829 28290 367.06354804926 48.5091542584334 -3.58375645556749 31.648451697101 0.592294857119157 32.1936084918561 311.5 10 "Sti" "G2C" 4 7 25 37 NA NA
"2831" 1 2830 28300 383.959355881181 48.5978900612936 0.827427776753759 14.3641799553455 -4.2744037029762 13.7606828068663 339.818181818182 10 "Sti" "G2C" 4 7 25 37 NA NA
"2832" 1 2831 28310 371.522401988579 55.2379869466344 0.0688577100250604 5.21181137158271 1.784508295401 4.75503901293195 350.722222222222 10 "Sti" "G2C" 4 7 25 37 NA NA
"2833" 1 2832 28320 378.619418832823 62.3245028610323 -1.28837201370981 11.3777205424901 0.933090376049336 15.2444035101404 312.818181818182 10 "Sti" "G2C" 4 7 25 37 NA NA
"3762" 2 126 1260 30.7339776057953 178.584335571911 -0.219422620585077 2.12236136763909 0.0840210925520104 3.72952322252718 338.954545454545 1 "Sti" "G2C" 4 7 25 45 NA NA
"3763" 2 127 1270 35.0293815564098 174.83324975199 -1.27704607929768 11.2777002725273 1.40675028370136 9.1824926853991 259.888888888889 1 "Sti" "G2C" 4 7 25 45 NA NA
"3764" 2 128 1280 57.6178001367998 173.758428122153 -5.07477916116696 44.8157973754426 5.78757559573518 41.6585071947938 303.136363636364 1 "Sti" "G2C" 4 7 25 45 NA NA
"3765" 2 129 1290 123.094216280368 205.056809379718 -8.60325611840435 75.97607121938 1.29183396035651 46.4017230789377 323.111111111111 1 "Sti" "G2C" 4 7 25 45 NA NA
"3766" 2 130 1300 207.795944968553 193.538658896007 -9.00005556539837 79.4802401793318 -2.73059716765803 42.4469995571899 333.318181818182 1 "Sti" "G2C" 4 7 25 45 NA NA
"3767" 2 131 1310 267.38282537495 174.815890430796 -6.07245684635922 53.62637209517 1.05931279600264 43.4280102944866 348.277777777778 1 "Sti" "G2C" 4 7 25 45 NA NA
"3768" 2 132 1320 343.459853058321 180.464672779119 -9.54869451147208 84.3253164001189 -2.62977073920996 77.1414953731251 361.727272727273 1 "Sti" "G2C" 4 7 25 45 NA NA
"4062" 2 426 4260 81.0961983158546 166.282763273242 -4.23921051044256 37.4368210387609 0.820496608678809 9.63937317264865 231.454545454545 2 "Sti" "G2C" 4 7 25 45 NA NA
